2025-03-16 17:39:01,259 INFO    MainThread:339760 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-16 17:39:01,260 INFO    MainThread:339760 [wandb_setup.py:_flush():67] Configure stats pid to 339760
2025-03-16 17:39:01,260 INFO    MainThread:339760 [wandb_setup.py:_flush():67] Loading settings from C:\Users\evche\.config\wandb\settings
2025-03-16 17:39:01,260 INFO    MainThread:339760 [wandb_setup.py:_flush():67] Loading settings from C:\Users\evche\OneDrive\Desktop\UCSC_Freshman\CMPM17-ML\CMPM17-Final-HandSignRecognition\wandb\settings
2025-03-16 17:39:01,260 INFO    MainThread:339760 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-16 17:39:01,260 INFO    MainThread:339760 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\evche\OneDrive\Desktop\UCSC_Freshman\CMPM17-ML\CMPM17-Final-HandSignRecognition\wandb\run-20250316_173901-yof3ei55\logs\debug.log
2025-03-16 17:39:01,260 INFO    MainThread:339760 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\evche\OneDrive\Desktop\UCSC_Freshman\CMPM17-ML\CMPM17-Final-HandSignRecognition\wandb\run-20250316_173901-yof3ei55\logs\debug-internal.log
2025-03-16 17:39:01,261 INFO    MainThread:339760 [wandb_init.py:init():761] calling init triggers
2025-03-16 17:39:01,261 INFO    MainThread:339760 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-16 17:39:01,261 INFO    MainThread:339760 [wandb_init.py:init():784] starting backend
2025-03-16 17:39:01,261 INFO    MainThread:339760 [wandb_init.py:init():788] sending inform_init request
2025-03-16 17:39:01,312 INFO    MainThread:339760 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-16 17:39:01,312 INFO    MainThread:339760 [wandb_init.py:init():798] backend started and connected
2025-03-16 17:39:01,313 INFO    MainThread:339760 [wandb_init.py:init():891] updated telemetry
2025-03-16 17:39:01,358 INFO    MainThread:339760 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-16 17:39:01,580 INFO    MainThread:339760 [wandb_init.py:init():990] starting run threads in backend
2025-03-16 17:39:01,675 INFO    MainThread:339760 [wandb_run.py:_console_start():2375] atexit reg
2025-03-16 17:39:01,675 INFO    MainThread:339760 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-16 17:39:01,676 INFO    MainThread:339760 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-16 17:39:01,676 INFO    MainThread:339760 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-16 17:39:01,678 INFO    MainThread:339760 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-16 17:39:45,751 INFO    MsgRouterThr:339760 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
